,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
6,2010,Cardano,ADA,cardano,767,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34788712142.912,35711298229.443,False,,7,,,,2023-04-21T14:27:00.000Z,0.40023264939068126,443609461.8411836,7.2223,-0.40208059,-3.57377637,-7.55428393,6.15122688,-1.912438,8.22806464,13923578429.847435,1.1723,18010469222.58,,2023-04-21T14:27:00.000Z,,,,,,2023-04-21 16:29:44.017972+02:00
7,74,Dogecoin,DOGE,dogecoin,692,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139030776383.70517,139030776383.70517,False,,8,,,,2023-04-21T14:27:00.000Z,0.08400258614250358,983236971.078021,-49.0928,-0.07767279,-3.94132147,-5.51407989,11.96622561,-4.80837014,-3.31060043,11678944769.631346,0.9837,11678944769.63,,2023-04-21T14:27:00.000Z,,,,,,2023-04-21 16:29:44.017972+02:00
8,3890,Polygon,MATIC,polygon,665,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9219469069.28493,10000000000.0,False,,9,,,,2023-04-21T14:27:00.000Z,1.04466059535769,388388684.40900534,5.4054,-0.02998115,-3.58295121,-10.1071588,-9.09963313,-29.85774223,3.26345375,9631216046.801003,0.8112,10446605953.58,,2023-04-21T14:27:00.000Z,,,,,,2023-04-21 16:29:44.017972+02:00
9,5426,Solana,SOL,solana,456,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1']",,392627269.60450536,539312704.8875339,False,,10,,,,2023-04-21T14:27:00.000Z,22.105830625091457,513527431.51976115,-16.1553,-0.11689626,-2.8136011,-9.90232559,-2.03985983,-16.14912412,-12.25312746,8679351920.669315,0.731,11921955308.2,,2023-04-21T14:27:00.000Z,,,,,,2023-04-21 16:29:44.017972+02:00
10,6636,Polkadot,DOT,polkadot-new,498,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1175128016.1103375,1304606893.4155173,False,,11,,,,2023-04-21T14:27:00.000Z,6.063411071665522,226286123.64841247,-3.0067,-0.1392302,-4.67254349,-9.19151575,-3.68664948,-19.29541644,-2.40344475,7125284223.50776,0.5999,7910367881.71,,2023-04-21T14:27:00.000Z,,,,,,2023-04-21 16:29:44.017972+02:00
11,4687,Binance USD,BUSD,binance-usd,6638,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem']",,6582802135.843376,6582802135.843376,False,,12,,,,2023-04-21T14:27:00.000Z,0.9996517401874567,3223149641.1614313,-10.3139,-0.00873798,-0.03323496,-0.09393474,-0.10190534,-0.05549953,-0.04925747,6580509610.405538,0.5542,6580509610.41,,2023-04-21T14:27:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-04-21 16:29:44.017972+02:00
12,2,Litecoin,LTC,litecoin,906,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,72754114.3210035,84000000.0,False,,13,,,,2023-04-21T14:27:00.000Z,89.48234706155719,698127911.3132755,-16.1946,-0.21478378,-2.17802379,-7.55090872,10.98541377,-7.83794713,0.84418409,6510208907.828243,0.5483,7516517153.17,,2023-04-21T14:27:00.000Z,,,,,,2023-04-21 16:29:44.017972+02:00
13,5994,Shiba Inu,SHIB,shiba-inu,507,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589544401507219.5,589604828046074.5,False,,14,,,,2023-04-21T14:27:00.000Z,1.0624535503185742e-05,196927613.02095693,-23.5947,0.27590128,-2.49851318,-5.42460751,-2.61135898,-22.03637101,-12.23638152,6263635424.517843,0.5274,6264277428.43,,2023-04-21T14:27:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-04-21 16:29:44.017972+02:00
14,1958,TRON,TRX,tron,753,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,90733897617.35439,90734019562.02263,False,,15,71659659264.0,4721779396.906455,,2023-04-21T14:27:00.000Z,0.0658917366535478,221704164.28677994,-20.4299,0.05268674,-0.85970645,-0.84337784,-3.1145337,-8.30935932,5.29790085,5978614087.352684,0.5035,5978622122.5,,2023-04-21T14:27:00.000Z,,,,,,2023-04-21 16:29:44.017972+02:00
0,1,Bitcoin,BTC,bitcoin,10172,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19352368.0,19352368.0,False,,1,,,,2023-04-21T14:09:00.000Z,28077.916234883385,20573668008.95455,-2.5615,-0.41989079,-2.60338651,-8.44421672,-1.0697802,12.99499984,22.36462131,543374167650.6377,45.8407,589636240932.55,,2023-04-21T14:09:00.000Z,,,,,,2023-04-21 14:27:16.451485+00:00
